Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
CLOUD_ONLY,ROUND_ROBIN,60,1285.2699,0.3399,957.0904,0.2531,4200,3549,0,651,0,0,0,4200,3549,0,0,0,0,8975.40133333341,5151.313333333343,8975.40133333341,17513.84999999848,0.0,0.0,17.004937490316813,0.331,12.5769,0,0,47.0174,0.7583,1.0367,1.0367,0,0,45.9806,0.7663,0,33.1305,96.8027,-1.0,[96.20314074074075- 96.20195555555557- 99.86962962962963- 99.86903703703705- 99.86992592592593- 99.86838518518518- 99.86921481481481- 96.20373333333336- 73.57037037037021- 73.57037037037023- 99.86921481481481- 73.57037037037021- 99.86945185185185- 99.8688- 99.86850370370371- 99.86927407407408- 99.86832592592593- 96.2014814814815- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,80,1800.6509,0.3292,1520.0456,0.2779,5600,4799,0,801,0,0,0,5600,4799,0,0,0,0,17349.416000000132,9990.282666666633,17349.416000000132,24090.499999996766,0.0,0.0,12.101908049773286,0.3386,16.9318,0,0,64.6104,0.7879,1.4245,1.4245,0,0,63.1859,0.7898,0,33.1533,96.9244,-1.0,[99.8679111111111- 99.86785185185185- 99.86826666666667- 99.86838518518518- 99.8679111111111- 99.86785185185185- 99.86785185185185- 99.86785185185185- 99.86785185185185- 96.20231111111111- 96.20231111111111- 99.86785185185185- 99.86785185185185- 96.20183703703704- 73.57037037037023- 99.8679111111111- 73.57037037037021- 99.8679111111111- 99.86785185185185- 73.57037037037023- 96.20290370370371- 73.57037037037023- 99.86797037037037- 99.86785185185185- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,100,2283.1434,0.3462,2263.1342,0.3432,7000,5889,0,1111,0,0,0,7000,5889,0,0,0,0,27291.506666666683,15749.374666666676,27291.506666666683,30639.29999999525,0.0,0.0,9.751862469587131,0.3464,21.4773,0,0,82.1973,0.8059,1.8123,1.8123,0,0,80.385,0.8038,0,33.0272,96.2519,-1.0,[99.86862222222221- 96.2016- 73.57037037037023- 73.57037037037023- 96.2014814814815- 73.57037037037023- 96.20183703703704- 99.86785185185185- 99.86797037037037- 99.86832592592593- 99.86785185185185- 96.2016- 99.86797037037037- 99.86838518518518- 99.86826666666667- 73.57037037037021- 99.86874074074075- 99.86808888888889- 96.2016- 99.86826666666667- 99.86921481481481- 99.86903703703705- 99.86862222222221- 99.86814814814814- 96.2016- 99.86903703703705- 96.2014814814815- 73.57037037037023- 73.57037037037023- 99.86826666666667- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
CLOUD_ONLY,ROUND_ROBIN,120,2625.3925,0.3273,3074.4747,0.3833,8400,7080,0,1320,0,0,0,8400,7080,0,0,0,0,37842.438666667076,21663.167999999747,37842.438666667076,35056.09999999596,0.0,0.0,8.028544768225023,0.3348,24.7727,0,0,94.041,0.7708,2.0734,2.0734,0,0,91.9676,0.7664,0,33.1534,96.9246,-1.0,[99.8688- 73.57037037037021- 73.57037037037021- 99.86891851851851- 99.86832592592593- 99.86850370370371- 96.20171851851853- 99.86903703703705- 99.86832592592593- 99.86868148148147- 73.57037037037023- 73.57037037037023- 99.86844444444444- 96.20207407407408- 99.86862222222221- 99.86874074074075- 99.86832592592593- 73.57037037037023- 99.86850370370371- 99.86903703703705- 96.20171851851853- 96.20231111111111- 99.86850370370371- 99.86785185185185- 99.86785185185185- 99.86797037037037- 96.20254814814817- 99.86820740740741- 99.86826666666667- 99.86797037037037- 99.86797037037037- 99.86785185185185- 99.86797037037037- 73.57037037037023- 99.86797037037037- 96.20195555555557- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,60,1607.3873,0.4261,20.9934,0.0056,4200,3548,0,652,0,0,0,0,0,4200,3548,0,0,8894.710666666704,0.0,8894.710666666704,17513.199999998516,0.0,0.0,17.065276483937176,1.6549,0,62.8846,0,47.0174,0.7583,0,0,1.0369,1.0369,45.9805,0.7663,0,32.9891,96.0483,-1.0,[99.86998518518517- 99.86891851851851- 99.86927407407408- 96.20290370370371- 96.20207407407408- 99.86968888888889- 73.57037037037021- 73.57037037037023- 99.86897777777779- 99.86856296296297- 96.20397037037037- 73.57037037037023- 99.86915555555555- 99.8679111111111- 99.86838518518518- 99.86903703703705- 99.86974814814816- 73.57037037037023- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,80,2255.4506,0.4108,104.4912,0.019,5600,4792,0,808,0,0,0,0,0,5600,4792,0,0,16967.248000000094,0.0,16967.248000000094,24091.449999996734,0.0,0.0,12.025200045571399,1.6932,0,84.6591,0,64.6108,0.7879,0,0,1.4247,1.4247,63.1861,0.7898,0,32.7663,94.8605,-1.0,[99.8679111111111- 96.20242962962962- 96.20314074074075- 96.20195555555557- 99.8679111111111- 73.57037037037023- 73.57037037037023- 99.86785185185185- 99.86785185185185- 73.57037037037023- 99.86785185185185- 73.57037037037021- 99.86785185185185- 99.86785185185185- 73.57037037037023- 96.20183703703704- 73.57037037037023- 73.57037037037021- 96.20171851851853- 99.8679111111111- 99.8679111111111- 99.86785185185185- 99.86785185185185- 99.86785185185185- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,100,2851.2346,0.4365,294.0619,0.045,7000,5938,0,1062,0,0,0,0,0,7000,5938,0,0,26771.189333333223,0.0,26771.189333333223,30636.449999995293,0.0,0.0,9.786200536222244,1.6129,0,100,0,82.1969,0.8059,0,0,1.8126,1.8126,80.3843,0.8038,0,33.2245,97.3038,-1.0,[99.86797037037037- 96.2016- 99.86838518518518- 99.86785185185185- 99.8679111111111- 99.86785185185185- 96.2014814814815- 99.8679111111111- 99.86808888888889- 73.57037037037023- 96.2016- 99.86808888888889- 96.2014814814815- 96.2014814814815- 99.86844444444444- 99.86808888888889- 99.86844444444444- 73.57037037037023- 99.86808888888889- 96.2014814814815- 99.86832592592593- 99.86921481481481- 99.86814814814814- 99.86832592592593- 99.86850370370371- 96.2016- 73.57037037037021- 99.86850370370371- 99.86933333333333- 73.57037037037023- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,ROUND_ROBIN,120,3278.9398,0.4084,615.4243,0.0767,8400,7107,0,1293,0,0,0,0,0,8400,7107,0,0,37384.4706666672,0.0,37384.4706666672,35055.349999995924,0.0,0.0,8.04393528125865,1.3514,0,100,0,94.0411,0.7708,0,0,2.0737,2.0737,91.9674,0.7664,0,33.1763,97.0468,-1.0,[99.86891851851851- 99.86885925925927- 99.86962962962963- 96.20183703703704- 99.86939259259259- 99.86785185185185- 99.86850370370371- 99.86797037037037- 99.86820740740741- 99.86868148148147- 99.86826666666667- 73.57037037037023- 99.86874074074075- 99.86785185185185- 99.86814814814814- 73.57037037037023- 99.86826666666667- 73.57037037037023- 99.86808888888889- 99.86862222222221- 73.57037037037021- 99.86802962962963- 96.20242962962962- 96.20183703703704- 99.86850370370371- 99.86838518518518- 99.86802962962963- 99.86785185185185- 99.86797037037037- 99.8679111111111- 99.86797037037037- 73.57037037037023- 99.86785185185185- 73.57037037037021- 96.20219259259261- 99.86797037037037- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
MIST_ONLY,ROUND_ROBIN,60,9236.8892,3.0245,12.6101,0.0041,4200,1801,2002,325,0,72,0,0,0,0,0,3199,2802,291.70933333332385,0.0,291.70933333332385,10502.749999999862,0.0,0.0,294.4769711163154,30.5466,0,0,32.2437,3.5894,0.0579,0,0,0,0,3.5894,0.0598,0,33.6684,99.7429,-1.0,[99.95775816296297- 99.85872414814816- 99.59933179259261- 99.70120882962962- 99.48799146666666- 98.99154459259259- 99.96183727407407- 99.83635597037038- 99.91129754074075- 98.76714186666666- 99.91113866666666- 99.34877842962963- 99.94823182222223- 99.4808443851852- 99.21215762962963- 99.92024711111111- 99.91771786666666- 99.54670275555556- 99.90289909773895- 99.99396208526547- 99.90411656601603- 99.97535542255292- 99.99975848341063- 99.99299601890793- 99.79989597936662- 99.83604034113377- 100.0- 99.71400549085158- 100.0- 99.80862921923865],[]
MIST_ONLY,ROUND_ROBIN,80,10135.2085,2.4224,7.8501,0.0019,5600,2966,1876,672,0,86,0,0,0,0,0,4662,3904,504.51199999996044,0.0,504.51199999996044,17469.74999999877,0.0,0.0,288.15066425120773,29.1333,0,0,30.3472,5.5981,0.0683,0,0,0,0,5.5981,0.07,0,33.6706,99.7913,-1.0,[99.9258365037037- 99.93097392592594- 99.93111917037037- 99.2658344888889- 99.8768610962963- 99.44630832592591- 99.84209374814814- 99.5951335111111- 99.71617582222223- 99.97791028148148- 99.85780414814815- 99.5386834962963- 99.7653216- 99.42650791111112- 99.50786601481481- 99.87936391111111- 99.94906026666666- 99.66000948148148- 99.58280936296296- 99.7533090962963- 99.66116722962964- 99.90585688888889- 99.86695928888889- 99.95888402962963- 99.97028851684101- 99.86275679391782- 99.74295557892087- 99.95211411265682- 99.63488443150364- 99.99975848341063- 99.76044901865632- 99.50170140012222- 99.91612387217369- 99.97174255904238- 99.96833167080054- 99.97343317516804- 99.98617851108955- 99.98526254538265- 99.6559745587548- 99.94998067867284],[]
